experiment_id,crossover_operator,selection_factor,branching_factor,mutation_factor,mutation_potency,maximum_epochs,minimum_profit,maximum_profit,average_profit,num_states_generated,running_time
0,ac,15,68,0.5,0.4,100,2832968006.4391327,3290976674.6085663,3143310229.104201,856800,7.506069684028626
1,ac,15,68,0.5,0.4,200,3064008010.5345306,3325403939.544571,3221273246.9662995,1570800,14.730256271362304
2,ac,15,68,0.5,0.4,300,3105171928.97908,3341720713.030121,3236178833.6822343,2284800,21.97312135696411
3,ac,15,68,0.5,0.4,400,3107076863.7862244,3342725413.3282623,3238775426.3429823,2998800,29.188281869888307
4,ac,15,68,0.5,0.4,500,3107076863.7862244,3344393744.4950714,3242302222.358537,3712800,36.40848467350006
5,ac,15,68,0.5,0.4,600,3107089712.0057983,3347342038.239624,3249365534.96138,4426800,43.634902477264404
6,ac,15,68,0.5,0.4,700,3111015815.03479,3347342038.239624,3250917196.634616,5140800,50.86932106018067
7,ac,15,68,0.5,0.4,800,3111015815.03479,3347342038.239624,3255528671.1681166,5854800,58.114586162567136
8,ac,15,68,0.5,0.4,900,3111015815.03479,3347342038.239624,3262961904.647989,6568800,65.35514934062958
9,ac,15,68,0.5,0.4,1000,3112798951.3152466,3349122351.5838013,3264277546.7456512,7282800,72.59043152332306
10,ac,35,12,0.5,0.4,100,-0.13911676854276864,3268674260.748459,2801466189.659065,999600,8.346083068847657
11,ac,35,12,0.5,0.4,200,-2.0175264146790823e-12,3313530677.800949,2852441488.310324,1713600,15.903657150268554
12,ac,35,12,0.5,0.4,300,-2.8167744062350957e-23,3314927634.334778,2868758684.2633543,2427600,23.477066969871522
13,ac,35,12,0.5,0.4,400,-3.98255646560866e-34,3318824836.9444733,2872566696.2833085,3141600,31.027862906455994
14,ac,35,12,0.5,0.4,500,-7.680804791183443e-45,3322572129.4281616,2874725865.689917,3855600,38.58994140625
15,ac,35,12,0.5,0.4,600,-1.1309182744252676e-55,3328123878.5520935,2879218057.9670577,4569600,46.155010509490964
16,ac,35,12,0.5,0.4,700,-1.7968649214831236e-66,3342688482.6674194,2905284759.968007,5283600,53.734118580818176
17,ac,35,12,0.5,0.4,800,-2.5609085380383002e-77,3342688482.6674194,2906567460.954941,5997600,61.28822133541107
18,ac,35,12,0.5,0.4,900,-4.1411080018682983e-88,3342688482.6674194,2908055575.3441668,6711600,68.87628467082978
19,ac,35,12,0.5,0.4,1000,-4.802149560773398e-99,3342688482.6674194,2910273930.8824053,7425600,76.45138535499572
20,ac,85,2,0.5,0.4,100,-2.7506395018442222,3167981568.81604,1217773488.8763728,1142400,11.284614777565002
21,ac,85,2,0.5,0.4,200,-6.173217808221848e-10,3167981568.81604,1228723787.7863998,1856400,21.201527762413026
22,ac,85,2,0.5,0.4,300,-1.1513995119943872e-19,3167981568.81604,1233297727.391037,2570400,31.166224551200866
23,ac,85,2,0.5,0.4,400,-2.537124316513441e-29,3167981568.81604,1245026900.7332444,3284400,41.18679976463318
24,ac,85,2,0.5,0.4,500,-5.392858447710749e-39,3167981568.81604,1245026900.7332444,3998400,51.19172251224518
25,ac,85,2,0.5,0.4,600,-1.1235524314627454e-48,3167981568.81604,1247540800.1625,4712400,61.18130474090576
26,ac,85,2,0.5,0.4,700,-2.208162561695633e-58,3180829533.2502136,1249412671.0307586,5426400,71.15429651737213
27,ac,85,2,0.5,0.4,800,-4.868175916013439e-68,3180829533.2502136,1249412671.0307586,6140400,81.18968901634216
28,ac,85,2,0.5,0.4,900,-1.0674558427111034e-77,3180829533.2502136,1249412671.0307586,6854400,91.18218340873719
29,ac,85,2,0.5,0.4,1000,-2.3503926050318e-87,3247978995.153763,1257820956.6544204,7568400,101.23965559005737
30,ac,15,68,0.5,0.8,100,-1.6247109964400358e-19,-2.528410984329919e-20,-7.406975296882261e-20,1285200,10.29090702533722
31,ac,15,68,0.5,0.8,200,-1.7299861755364036e-48,-1.2346774563241648e-49,-6.043991529353293e-49,1999200,18.523800873756407
32,ac,15,68,0.5,0.8,300,-1.2081536844607563e-77,-4.3535340040892085e-79,-5.247348164324619e-78,2713200,26.8155588388443
33,ac,15,68,0.5,0.8,400,-1.510714195432454e-106,-1.7179468691928213e-108,-4.848111357495204e-107,3427200,35.304915523529054
34,ac,15,68,0.5,0.8,500,-1.1110621620831926e-135,-1.8304459724728134e-137,-3.877439610621049e-136,4141200,43.868240451812746
35,ac,15,68,0.5,0.8,600,-1.3444640293075261e-164,-2.177304078459087e-166,-4.2360640438928536e-165,4855200,52.190075755119324
36,ac,15,68,0.5,0.8,700,-1.9868687510127844e-193,-1.0546575298288647e-195,-4.5768085465915775e-194,5569200,60.304984951019286
37,ac,15,68,0.5,0.8,800,-9.097942520785256e-223,-8.186712775653977e-225,-2.2946670818114815e-223,6283200,68.4920508146286
38,ac,15,68,0.5,0.8,900,-5.247807616139667e-252,-6.320895883654106e-254,-1.5601335562867576e-252,6997200,76.75437922477722
39,ac,15,68,0.5,0.8,1000,-5.972354267185863e-281,-1.7787205173913365e-283,-1.2754119888444035e-281,7711200,85.07911822795867
40,ac,35,12,0.5,0.8,100,-5.0441167137805534e-17,-1.1532709836766715e-17,-2.152382366042673e-17,1428000,13.131548142433166
41,ac,35,12,0.5,0.8,200,-1.3890853092795627e-43,-4.692037823801392e-44,-9.85545903299984e-44,2142000,22.712955784797668
42,ac,35,12,0.5,0.8,300,-7.98559726616911e-70,-1.5259567122598084e-70,-4.477689129759104e-70,2856000,32.39094655513763
43,ac,35,12,0.5,0.8,400,-4.989344403878867e-96,-8.262133915752429e-97,-2.594075956732163e-96,3570000,42.59117805957794
44,ac,35,12,0.5,0.8,500,-3.935395517663664e-122,-5.675833315301682e-123,-1.6928660164919852e-122,4284000,52.32032513618469
45,ac,35,12,0.5,0.8,600,-1.8001693638299758e-148,-1.5384881319617514e-149,-8.676070037237591e-149,4998000,62.31174681186676
46,ac,35,12,0.5,0.8,700,-7.740620937842505e-175,-4.237483031841053e-176,-4.689274682268755e-175,5712000,71.93377788066864
47,ac,35,12,0.5,0.8,800,-6.545870596742355e-201,-1.9027198923106772e-202,-2.9725919356477646e-201,6426000,82.11464145183564
48,ac,35,12,0.5,0.8,900,-2.1265646131260445e-227,-9.70033737021343e-229,-1.4156242937607317e-227,7140000,92.30685000419616
49,ac,35,12,0.5,0.8,1000,-2.043615923886197e-253,-2.8273188424274542e-255,-9.14948825378092e-254,7854000,102.33710830211639
50,ac,85,2,0.5,0.8,100,-1.9108385693568345e-14,-4.304001392000899e-15,-9.250910659363506e-15,1570800,17.255478024482727
51,ac,85,2,0.5,0.8,200,-1.8781856715488381e-37,-3.308677968045852e-38,-7.869960864336681e-38,2284800,30.477072334289552
52,ac,85,2,0.5,0.8,300,-2.2675553081283003e-60,-1.8603047288504647e-61,-6.604400637140115e-61,2998800,43.268467855453494
53,ac,85,2,0.5,0.8,400,-1.745515891580431e-83,-1.363174996247619e-84,-5.191411601910804e-84,3712800,55.524137830734254
54,ac,85,2,0.5,0.8,500,-7.920005247059205e-107,-1.0735634125190356e-107,-3.376711669721967e-107,4426800,67.50556991100311
55,ac,85,2,0.5,0.8,600,-7.430148121389114e-130,-9.696864057050452e-131,-2.9231833894239526e-130,5140800,79.70123691558838
56,ac,85,2,0.5,0.8,700,-5.468130185464094e-153,-8.213105366692984e-154,-2.3701814935149545e-153,5854800,92.25618379116058
57,ac,85,2,0.5,0.8,800,-3.614065102416848e-176,-5.045678718251279e-177,-1.7390226381333854e-176,6568800,104.93522021770477
58,ac,85,2,0.5,0.8,900,-3.6053679991695847e-199,-4.2478347981873964e-200,-1.329127446990569e-199,7282800,117.74535596370697
59,ac,85,2,0.5,0.8,1000,-2.185022724006799e-222,-2.8200678999285678e-223,-9.351901743028149e-223,7996800,130.11736543178557
60,ac,15,68,1.0,0.4,100,-3.315170392455806e-07,-1.4116114907501378e-07,-2.194376457099828e-07,1713600,14.658706402778625
61,ac,15,68,1.0,0.4,200,-8.491140665181014e-23,-4.076017269999698e-23,-5.7821418081666e-23,2427600,24.804574823379518
62,ac,15,68,1.0,0.4,300,-2.2910684634563184e-38,-1.0004433971417773e-38,-1.5192841872459416e-38,3141600,34.65125892162323
63,ac,15,68,1.0,0.4,400,-5.171195553449547e-54,-2.6016859823412973e-54,-3.8734348732896476e-54,3855600,44.16866843700409
64,ac,15,68,1.0,0.4,500,-1.2556655403364164e-69,-6.589673643180073e-70,-9.474831987944329e-70,4569600,53.603978514671326
65,ac,15,68,1.0,0.4,600,-3.966306398247691e-85,-1.4196958352666763e-85,-2.5035336537420022e-85,5283600,63.44236009120941
66,ac,15,68,1.0,0.4,700,-8.859555378423527e-101,-3.760758381689411e-101,-6.428020533611369e-101,5997600,73.11488928794861
67,ac,15,68,1.0,0.4,800,-2.2022356705050663e-116,-1.1625490951055482e-116,-1.5993903854362696e-116,6711600,82.91675000190735
68,ac,15,68,1.0,0.4,900,-5.880890848606216e-132,-2.6529656793196523e-132,-3.986002202535612e-132,7425600,92.27816286087037
69,ac,15,68,1.0,0.4,1000,-1.2654846070464786e-147,-7.410043365407942e-148,-9.919108182875931e-148,8139600,101.89867534637452
70,ac,35,12,1.0,0.4,100,-3.237759293282323e-06,-2.3815837911298425e-07,-1.3749541547553701e-06,1856400,14.839887046813965
71,ac,35,12,1.0,0.4,200,-1.018187713492762e-20,-8.61878539649544e-22,-4.145802534150781e-21,2570400,24.62050657272339
72,ac,35,12,1.0,0.4,300,-2.8538221933657683e-35,-2.8062105350324974e-36,-1.2469789922377623e-35,3284400,34.59666504859924
73,ac,35,12,1.0,0.4,400,-1.0663085721565235e-49,-1.0147010992470989e-50,-3.8575878883357195e-50,3998400,44.48653471469879
74,ac,35,12,1.0,0.4,500,-3.1911544972588806e-64,-3.3267386451230485e-65,-1.2383020329192673e-64,4712400,54.51799697875977
75,ac,35,12,1.0,0.4,600,-9.958649780032311e-79,-1.188113340862247e-79,-3.7270784146652135e-79,5426400,64.23603658676147
76,ac,35,12,1.0,0.4,700,-3.2921184793841585e-93,-4.4041713353405395e-94,-1.153941673515618e-93,6140400,74.54125151634216
77,ac,35,12,1.0,0.4,800,-1.0379397350309022e-107,-1.283981554450066e-108,-3.497445793963725e-108,6854400,84.34351122379303
78,ac,35,12,1.0,0.4,900,-3.007599243237888e-122,-3.409860019123497e-123,-1.0505226122970422e-122,7568400,94.17704215049744
